Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;430	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;44_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;45	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;4_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;4bn	0	0.00	3 	0.02	0	0.00	0	0.00	2 	0.01	1 	0.01	0	0.00	6	0.00	3	12.65	0.65	0.69	
&pound;5	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	5 	0.07	0	0.00	6	0.00	2	27.19	0.79	0.83	
&pound;5,000	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.65	0.68	0.73	
&pound;5,500	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1	0.00	1	5.48	0.94	0.99	
&pound;5-10_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;5.6_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;5.7	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;5.80	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;50	1 	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	3	0.00	3	6.01	0.58	0.61	
&pound;50,000	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;500	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	2 	0.03	0	0.00	3	0.00	2	11.44	0.79	0.83	
&pound;500_million	3 	0.01	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	1 	0.01	6	0.00	3	9.21	0.53	0.56	
&pound;500m	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2 	0.03	3	0.00	2	10.39	0.74	0.78	
